TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.133151927,0.692483,0.404902,0.931991,0.288572,0.604947,0.139506,0.133899,1.03902,0.0289005,0.877879,0.205904,0.278321
4.179591837,0.70427,0.312413,0.869627,0.262381,0.888334,0.166378,0.171527,1.1566,0.0233898,0.905804,0.234604,0.221168
4.226031746,0.483837,0.0856208,0.705608,0.367207,0.982825,0.213747,0.112716,1.05788,0.0285237,0.971797,0.212067,0.150552
4.272471655,0.400293,0.0623032,0.781294,0.358183,1.06878,0.249337,0.116425,0.90697,0.0273119,1.03356,0.193001,0.214104
4.318911565,0.371832,0.0418847,0.79453,0.408662,1.11268,0.250935,0.0874114,1.14236,0.0251719,1.2177,0.164924,0.272014
4.365351474,0.322379,0.02771,0.676553,0.424713,1.12025,0.216727,0.107957,1.28429,0.0261337,1.21997,0.136827,0.362559
4.411791383,0.328468,0.0333315,0.714962,0.543175,1.03352,0.181115,0.221685,1.12787,0.0270513,0.966325,0.263066,0.35508
4.458231293,0.330953,0.0505318,0.852087,0.489978,0.947996,0.191117,0.269796,0.915291,0.0273861,0.877922,0.366549,0.331578
4.504671202,0.332658,0.0534896,0.846963,0.502414,1.01773,0.198316,0.200707,0.928528,0.0271513,0.862234,0.276395,0.312157
4.551111111,0.319486,0.0474133,0.860121,0.38507,1.01452,0.231796,0.134482,1.06835,0.0274792,0.854668,0.168984,0.343129
4.597551020,0.292883,0.0313446,1.09375,0.328037,0.810637,0.225081,0.139406,1.07154,0.0382206,0.847295,0.222867,0.364166
4.643990930,0.257664,0.0123326,1.52859,0.271128,0.44342,0.223827,0.162049,0.98854,0.0787299,0.821002,0.400263,0.368523
4.690430839,0.289065,0.00890684,1.60602,0.280202,0.473224,0.201136,0.158995,0.87912,0.0479082,0.926147,0.430413,0.428422
4.736870748,0.348505,0.0154508,1.34444,0.51832,0.643181,0.17898,0.15342,0.894214,0.0429623,1.02374,0.263764,0.423234
4.783310658,0.374555,0.0103672,1.20346,0.751073,0.616845,0.132419,0.169537,0.846617,0.0348529,1.03254,0.171361,0.392323
4.829750567,0.35586,0.00142382,1.27587,0.857329,0.570692,0.0715821,0.191163,0.678207,0.0315041,1.09061,0.18876,0.366805
4.876190476,0.315032,0,1.34374,0.81325,0.678693,0.0608522,0.210718,0.657794,0.0316764,1.23376,0.231784,0.30648
4.922630385,0.40176,0.0135749,1.29675,0.851618,0.744647,0.0847903,0.229465,0.631295,0.269238,1.30261,0.210629,0.202108
4.969070295,0.486986,0.0141498,1.23527,0.830792,0.712325,0.116726,0.166296,0.605103,0.407699,1.21342,0.176299,0.21623
5.015510204,0.362406,0.00709092,1.35191,0.703803,0.606408,0.121168,0.150822,0.575884,0.453863,0.971276,0.219771,0.240972
5.061950113,0.312207,0.188308,1.55697,0.586178,0.55934,0.139477,0.132252,0.526463,0.44978,0.89583,0.222935,0.237263
5.108390023,0.272183,0.290325,1.75783,0.500651,0.476819,0.26485,0.0699579,0.464169,0.411227,0.852789,0.167202,0.227224
5.154829932,0.402493,0.137885,1.64857,0.510549,0.350426,0.236399,0.188951,0.386066,0.326138,1.06058,0.2202,0.207501
5.201269841,0.465436,0.0255345,1.40573,0.693544,0.338057,0.10715,0.261961,0.335002,0.421314,1.068,0.231173,0.235566
5.247709751,0.552701,0.0661956,1.37244,0.696408,0.391378,0.0814787,0.295988,0.305457,0.286176,0.932944,0.222401,0.192956
5.294149660,0.653286,0.419827,1.25809,0.637432,0.411475,0.163193,0.362429,0.304903,0.151404,0.890592,0.195138,0.0525867
5.340589569,0.720228,0.889802,1.10481,0.44581,0.420985,0.316617,0.193137,0.358601,0.0232758,0.78795,0.195855,0.0983642
5.387029478,0.799016,0.793959,1.0362,0.40858,0.476565,0.234754,0.220423,0.415249,0.0222643,0.512658,0.237811,0.0716247
5.433469388,0.794176,0.751027,0.918536,0.314285,0.505991,0.0581273,0.224171,0.507431,0.0223925,0.553411,0.263157,0.0745123
5.479909297,0.806311,0.651899,0.960209,0.267296,0.454296,0.14424,0.115531,0.699677,0.02257,0.60812,0.198135,0.110318
5.526349206,0.791271,0.559724,0.948487,0.355523,0.502462,0.237385,0.0370204,0.714544,0.0234106,0.636539,0.149288,0.234327
5.572789116,0.604079,0.650014,0.843426,0.338081,0.600038,0.235147,0.0519693,0.735001,0.024407,0.655313,0.155715,0.35287
5.619229025,0.447593,0.722007,0.8847,0.185124,0.685914,0.171105,0.0589734,0.809359,0.0252185,0.58473,0.220973,0.357243
5.665668934,0.460396,0.641813,1.25534,0.199434,0.46791,0.256242,0.064056,0.936588,0.0293238,0.435403,0.318301,0.323563
5.712108844,0.475145,0.396962,1.53969,0.295049,0.326791,0.209109,0.0856994,1.10778,0.0449047,0.429192,0.414638,0.391047
5.758548753,0.753972,0.217137,1.51495,0.562145,0.302528,0.125489,0.0612609,1.28114,0.0514957,0.457292,0.287657,0.435489
5.804988662,0.860963,0,1.25158,0.819294,0.335198,0.136874,0.0308205,1.20489,0.0595813,0.530553,0.0986862,0.467951
5.851428571,0.635664,0,1.04844,0.863687,0.328885,0.174836,0.0568836,0.944148,0.0397052,0.608635,0.0791538,0.45894
5.897868481,0.383478,0,1.10238,0.921403,0.274579,0.172301,0.09993,1.01528,0.0332223,0.753564,0.0568004,0.526205
5.944308390,0.274755,0,1.3221,1.00668,0.313916,0.160276,0.106151,1.05233,0.0312814,0.900871,0.0302637,0.565154
5.990748299,0.276862,0,1.3344,0.96049,0.572246,0.149845,0.107197,1.03541,0.118312,1.08228,0.000857274,0.545867
6.037188209,0.28281,0.737729,0.755289,0.00981281,0.0784796,0.41942,1.89081,0.43622,0.0291189,0.770113,0.0851976,0.454176
6.083628118,0.0787011,0.861335,0.34628,0,0.00689058,0.455504,3.20689,0.236689,0.042214,0,0.0357542,0.447033
6.130068027,0.0468562,0.812303,0.25868,0,0.0176631,0.0821028,3.66535,0.178841,0.0602216,0,0.117209,0.567394
6.176507937,0.00738487,0.810118,0.239052,0.0137313,0.0236114,0.0395817,3.74528,0.16524,0.106466,0,0.162662,0.673095
6.222947846,0.000311277,0.997564,0.359369,0.0876399,0.0255176,0,3.7033,0.485265,0.144003,0.0265689,0.197724,0.633069
6.269387755,0.000551796,1.38853,0.246357,0.132818,0.0248185,0,3.89521,0.638814,0.124105,0.0679004,0.27873,0.0194203
6.315827664,0.000676371,1.71371,0,0,0.0463936,0.0524533,3.90684,0.490377,0.247405,0.397536,0.535956,0
6.362267574,2.87672e-06,2.37401,0.0014677,0.00844743,0.255468,0.0432756,3.90383,0.0673051,0.0952973,0.825421,0.403933,0.0285029
6.408707483,0.0190264,2.59321,0.000404708,0.0358553,0.233775,0,3.9481,0.0379358,0.116213,0.716838,0.75396,0.0496337
6.455147392,7.09715e-05,2.89451,0,0.240911,0.0283049,0,3.78406,0.0433815,0.114874,0.186067,0.882731,0.317735
6.501587302,0.000339547,2.97721,0,0.545741,0.0343193,0.0319253,3.87506,0.0520228,0.0828519,0,0.775384,0.462586
6.548027211,0.000362615,2.99814,0.113315,0.0224402,0.0105492,0.113768,3.80826,0.0301941,0.123583,0.0403053,2.2944,0.290165
6.594467120,0.000152399,2.7444,0.36659,0.0245757,0,0.354513,3.64328,0.153348,0.280542,0.0430985,2.87998,0.0167781
6.640907029,0.0283797,2.41764,0.52195,0.0583251,0,0.334768,3.32648,0.319254,0.389833,0.0294096,3.15194,0.00329496
6.687346939,6.18107e-05,2.25979,0.400427,0,0.192777,0.288875,3.08325,0.397612,0.468465,0,3.47263,0
6.733786848,0.160283,2.14483,0.385288,0.0028903,0.149669,0.331633,3.09822,0.332015,0.508454,0,3.54096,0
6.780226757,0.333758,2.34937,0.336626,0.00721247,0.00925049,0.207677,3.23171,0.244606,0.438495,0.00247163,3.39343,0
6.826666667,0.000573927,2.58612,0.269911,0.121586,0.0198072,0,3.58794,0.114777,0.29024,0.0610773,3.07041,0
6.873106576,0.000564387,2.53187,0.138736,0.00148761,0.0754184,0.0145254,3.77479,0.139243,0.0639287,0.0646403,3.07357,0.0343321
6.919546485,0.000400102,2.27476,0.00424888,0,0.138776,0.00866261,3.81338,0.146435,0.0603675,0.0970956,3.16708,0.144937
