TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
146.703673469,-239.414,11.9922,10.2094,19.6798,-2.1436,9.48996,0.668413,8.64338,-1.81937,3.69582,-3.39927,5.0424,1.7198,9.99794,0.963235,5.9856,-2.39732,1.5207,0.395657,3.24207,-1.05032
146.726893424,-183.361,4.11139,-7.04626,20.5319,1.28627,7.05174,-0.652516,3.32287,-2.82434,3.95977,-3.52727,5.50276,2.22859,8.45835,3.48609,3.70091,1.29659,5.49574,-0.150399,-1.30894,-4.3645
146.750113379,-197.29,9.19166,-5.72203,22.0716,3.56954,7.70119,0.678117,2.74586,-4.17795,2.80989,-3.46878,7.06975,0.428294,7.39239,2.23241,5.11158,-1.13792,3.98231,-0.514318,-0.545836,-2.86855
146.773333333,-223.278,16.8939,-2.28208,23.0734,-0.577289,9.48144,0.256504,1.63832,-4.80263,5.55276,-2.96042,7.08968,-0.551262,7.18175,0.706042,6.4892,-1.99231,5.92906,0.0132251,-0.853851,-4.76521
146.796553288,-234.837,23.3126,-4.60972,22.8108,-0.134288,5.30325,0.761912,3.03391,-4.48442,0.812754,-3.02832,5.8829,1.61634,8.13256,6.23639,5.83402,0.498768,5.6807,2.33091,-2.56057,-5.67031
146.819773243,-246.696,25.0481,-0.222981,21.8157,0.810132,3.25488,1.27888,1.84165,-5.87698,-0.809336,-3.66716,5.35257,1.90887,7.16106,6.40951,6.02198,0.614165,7.16493,2.56049,-0.848124,-5.17292
146.842993197,-245.52,22.6823,3.15506,19.0587,0.143729,4.69099,2.09671,5.81839,-7.62991,-2.12004,-5.99375,4.65513,-2.49043,7.0606,5.42938,5.6832,1.80915,5.42401,2.71827,2.83544,-6.7117
146.866213152,-247.034,24.174,5.45133,17.1164,-2.49633,1.96249,-0.879505,3.10751,-9.36085,-0.518695,-4.49011,7.00396,-1.44318,6.76552,3.46201,5.88984,-1.12895,3.78002,3.32627,1.86474,-5.31073
146.889433107,-233.92,23.9846,14.0982,14.4108,-2.5577,3.16779,-4.42907,6.60948,-7.49361,0.0608616,-5.54388,2.81173,-3.06435,5.26184,1.00142,3.65677,-2.85143,1.26569,2.5924,-1.10866,-5.09774
146.912653061,-263.544,31.287,5.15393,16.5891,1.328,0.203434,1.9819,-0.549598,-5.96887,-0.659412,-6.38515,7.11829,-1.12431,5.87051,2.09114,2.32258,-3.0581,-0.03112,-0.633804,2.27448,-4.70763
146.935873016,-276.808,35.9806,-3.4037,19.2065,-2.53871,8.31336,-2.85937,1.49416,-9.62552,-1.02301,-11.1919,3.64391,-2.52986,8.52703,0.200721,2.73166,-2.95378,2.20031,0.515017,0.959316,-2.42489
146.959092971,-232.557,20.4717,-2.23659,13.0711,4.00958,3.3042,-4.27308,-2.18464,-5.48868,2.94154,-3.50594,1.56368,0.717095,1.79837,0.452574,5.41971,3.05503,3.11779,1.4932,-1.07214,-4.75576
146.982312925,-186.789,20.3342,-9.30986,8.7878,-0.992473,9.55012,1.77017,4.52135,0.54025,0.325543,-3.51597,-1.18153,-2.74318,-0.174092,-2.99874,1.55277,-1.41444,-1.90028,-3.43552,-0.95298,-2.52186
147.005532880,-189.025,18.0693,-13.7681,10.7431,-2.03013,9.15084,1.36617,7.40072,2.44725,6.11943,0.0895728,3.01917,2.73423,4.81585,4.23392,2.53354,-2.85089,1.11784,-3.56236,-1.57293,-1.32897
147.028752834,-205.03,26.971,-11.5967,14.127,-0.358587,12.0125,5.63211,6.75412,-0.511421,4.02875,-1.25503,3.71624,2.35675,5.51214,2.68478,4.28755,0.846585,1.84855,-1.3728,-0.100565,-3.70861
147.051972789,-232.673,33.6479,-12.4999,20.5435,-2.03531,14.0126,0.681553,10.3154,0.657158,8.10935,-1.60803,6.1044,-0.580008,7.99282,1.41688,3.95889,0.762217,3.49117,-0.88342,4.13829,0.28608
147.075192744,-263.055,41.6983,-6.31042,20.0753,-0.583551,15.2839,0.172963,10.5366,-3.85665,3.07393,-3.59261,6.84229,2.4211,9.45618,6.23076,7.51777,4.67094,3.05301,0.353853,0.745846,0.295095
147.098412698,-261.848,36.2073,12.3318,10.5337,3.41111,9.47655,2.22048,6.04209,-0.172385,2.56026,-2.9362,5.71822,-0.258819,9.11828,2.19512,8.09349,1.68421,4.39841,-0.423566,1.65723,-1.52595
147.121632653,-277.643,32.3752,15.8886,12.0716,6.75754,12.2494,4.10821,7.80881,-2.9339,2.13822,-3.22159,4.37209,0.733003,8.57124,5.92203,6.37186,-0.145249,3.08709,0.0963965,-0.414372,-1.74869
147.144852608,-282.805,44.6875,12.2523,9.5836,4.1998,10.1385,1.30007,9.26801,-2.46085,0.700979,-1.95971,4.4913,2.48678,7.27267,3.99431,5.99903,2.53439,2.25119,-0.0219688,-0.556824,0.491254
147.168072562,-301.65,51.8136,3.12507,20.2627,-0.770057,16.0907,-5.61747,12.4294,-8.57198,4.36406,-3.40031,5.99936,3.14077,9.11724,5.45168,3.49841,3.56819,-1.49162,3.60845,-2.8838,1.74346
147.191292517,-300.952,50.5694,2.87589,20.8875,-4.61632,19.7783,-10.2631,7.53211,-4.25835,8.08773,-3.71835,2.40975,2.83541,8.3114,7.06269,6.39885,7.92723,-1.39944,3.20979,-4.39065,1.70224
147.214512472,-232.311,8.05255,4.19562,22.1242,3.66408,3.06556,5.12021,5.83428,-0.67689,3.66261,-0.410555,4.13732,0.525097,6.80648,3.76905,6.63368,3.09075,0.075706,3.24927,1.62881,-2.04805
147.237732426,-186.059,7.36018,-6.41488,19.7142,2.25726,7.63515,0.028844,5.90534,-0.171147,4.64091,-1.55597,6.29799,3.03762,8.95091,4.39465,3.11941,0.246081,4.44443,-0.823423,0.0453528,-4.37162
147.260952381,-196.664,9.49835,-6.42715,19.8576,3.45843,7.43136,0.135254,3.45872,-0.332247,2.91516,-0.843113,7.39849,1.63796,4.7901,3.30979,5.7562,0.0610179,1.71585,-0.185289,-1.53096,-2.66243
147.284172336,-226.367,12.9352,-4.91506,20.1499,0.630885,11.3128,3.30963,4.71104,-2.58459,2.95711,-1.77548,5.88079,1.33166,7.76153,3.53258,6.35821,-0.877262,4.71381,0.827654,2.02862,-1.83134
147.307392290,-248.525,23.6287,-9.50444,27.9211,0.143213,13.434,5.09295,11.4316,-2.93936,5.77988,-3.36236,9.05818,-0.0100555,6.95638,2.15943,6.47027,-3.78485,5.27743,1.04259,3.37354,-1.77404
147.330612245,-247.498,16.7799,0.51386,22.1041,2.64047,6.7641,3.22503,4.10494,-6.13339,-1.25306,-2.41756,7.11116,-0.043854,4.23626,4.21744,4.54686,0.452729,5.27611,2.20998,-0.404536,-3.79666
147.353832200,-248.609,17.6117,3.6155,25.3591,6.18058,5.96939,1.47955,4.78004,-4.60405,0.506482,-3.50524,4.43737,0.140176,5.85652,3.32232,3.50853,0.774415,3.82752,0.913217,0.312634,-2.56855
147.377052154,-194.16,2.33695,-2.73694,22.3432,-0.518131,1.70162,6.4095,0.958873,-0.264145,2.72395,-0.279692,4.39359,-0.899642,3.54606,0.968576,2.71905,-0.282701,1.29455,1.11726,2.10023,-1.75456
147.400272109,-218.293,12.3688,-2.59643,21.2352,-1.08352,7.15014,-0.24975,5.84637,-3.46069,2.18787,-3.4606,5.76887,-1.178,5.44334,-0.472867,6.27146,0.422721,1.05791,-1.06281,0.839917,-3.0727
147.423492063,-246.31,14.5929,-0.361389,26.8564,3.81781,5.95344,2.43094,2.96329,-2.68498,0.885299,-4.37052,4.63896,-0.30843,7.80427,2.41427,5.42081,0.233707,3.86543,-1.14104,2.67255,-2.77844
147.446712018,-266.719,28.1786,4.54752,25.7196,0.149998,9.52844,2.05518,6.101,-3.14207,2.1449,-6.18303,9.11273,2.40438,10.7145,-0.378196,5.39063,-2.0438,5.34943,-0.659814,2.57316,-2.29942
147.469931973,-219.48,13.2022,1.18349,15.2477,11.3889,8.14065,-1.11203,3.46638,-1.48055,2.89534,-2.70999,5.06783,4.33503,4.2816,1.33297,0.245374,-0.953781,2.3972,1.95108,1.85226,-0.180546
