Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5a8XU0IawHs3qtkET6LiK0,"VERFBOMMENVERF","VERFBOMMENVERF","Abel",2023-05-18,150991,18,false,11164375455,2026-03-23T19:10:19Z,"nederpop","Burning Fik",0.627,0.409,3,-10.267,1,0.103,0.718,0,0.227,0.428,91.8,4
spotify:track:4mGeJEupUuUQICYKC7GV6W,"Roelievuittonica","Stukjes Van Een Man","Roelie Vuitton",2020-11-06,133984,5,true,11164375455,2026-03-23T19:10:19Z,"","Normal Entertainment",0.498,0.641,5,-7.592,1,0.381,0.554,0.00000415,0.123,0.37,85.369,4
spotify:track:5CS96IBCUHyjzYznEBpbWt,"ONDERWEG","MOERAS","STIKSTOF;Hef",2022-06-16,220466,32,false,11164375455,2026-03-23T19:10:19Z,"","Top Notch Music",0.65,0.771,0,-8.363,1,0.398,0.746,0.000693,0.0845,0.754,111.887,5
spotify:track:6TMwCGsTOlt796wpmiFIt7,"Palisades, CA","Palisades, CA","Larry June;The Alchemist;Big Sean",2023-03-22,194453,34,true,11164375455,2026-03-23T19:10:19Z,"alternative hiphop,jazz rap,experimentele hiphop,boombap","The Freeminded Records / ALC / EMPIRE",0.708,0.743,0,-8.581,0,0.281,0.0691,0.000653,0.37,0.681,129.917,4
spotify:track:3fUyQF6hU3x7TgxrCVhS50,"Remedie","Langetermijnvisie","Ares",2020-10-23,149451,16,false,11164375455,2026-03-23T19:10:19Z,"","162",0.837,0.498,6,-12.662,1,0.135,0.601,0.000437,0.126,0.7,89.984,4
spotify:track:2FF33jfTnBTMom7swqAX2x,"Niet Normaal (feat. Ares)","Balans","Nnelg;Ares",2020-01-31,220263,15,true,11164375455,2026-03-23T19:10:19Z,"","Zes Nullen",0.71,0.518,5,-7.95,0,0.138,0.0906,0.000138,0.153,0.638,86.997,4
spotify:track:12UgxYOGvFcuFlIf95vEGr,"Stop Giving Me Advice (with Jack Harlow & Dave)","All Is Yellow","Lyrical Lemonade;Jack Harlow;Dave",2024-01-26,242453,53,true,11164375455,2026-03-23T19:10:19Z,"grime,britse grime,britse drill,drill","Lyrical Lemonade P&D/ Def Jam",0.797,0.676,6,-4.861,0,0.204,0.463,0.0000208,0.101,0.91,103.7,4
spotify:track:6jqJ4XwRTXbhkFJ5YXOXrV,"Luchtkastelen","Luchtkastelen","Dio;Gerson Main",2020-02-21,166603,24,false,11164375455,2026-03-23T19:11:31Z,"nederpop,hollands","Sony Music Entertainment",0.724,0.682,11,-6.891,1,0.0405,0.184,0.0364,0.113,0.311,90.518,4
spotify:track:4M7D8L0mvWYFuqOuy0NN57,"Tweede Klas Shit","Tweede Klas","Gotu Jim",2018-11-16,89999,26,true,11164375455,2026-03-23T19:11:31Z,"hard house,nederpop","Burning Fik",0.459,0.682,3,-6.718,1,0.0729,0.447,0.00109,0.208,0.355,175.855,4
spotify:track:6bO3Bdcna0RoBTIdm5j3Wm,"De Leven","De Leven","Sef",2011-01-01,233546,53,false,11164375455,2026-03-23T19:11:31Z,"nederpop","Top Notch Music BV",0.606,0.868,11,-7.838,1,0.171,0.114,0,0.37,0.723,93.059,4
spotify:track:2ymN5T0qB08hrhvkBeN0GM,"Swapfiets","Generation K","Gotu Jim",2019-11-01,157761,13,true,11164375455,2026-03-23T19:11:31Z,"hard house,nederpop","Burning Fik",0.695,0.47,0,-7.893,0,0.0676,0.411,0.0000639,0.0859,0.733,75.026,4
spotify:track:3Oe47G5gPFT7ZiLhPezEQV,"Raak in de Disco","Raak in de Disco","Gotu Jim;Harco",2019-06-07,213033,15,true,11164375455,2026-03-23T19:11:31Z,"hard house,nederpop,shibuya-kei","Burning Fik",0.646,0.562,5,-8.103,0,0.295,0.21,0,0.125,0.542,177.913,4
spotify:track:7lCnAczYDf0XsLpk7KHOLU,"Snelle Meiden","Snelle Meiden","Abel;Faberyayo",2020-05-05,169567,18,true,11164375455,2026-03-23T19:11:31Z,"nederpop","Burning Fik",0.794,0.695,0,-6.022,1,0.131,0.0534,0.0000023,0.584,0.647,135.987,4
spotify:track:1ANn86TrH1ljZeNOxMPBZA,"Flashy","De Leventje EP","Sef;Faberyayo",2011-01-01,251946,2,false,11164375455,2026-03-23T19:11:31Z,"nederpop","Top Notch Music BV",0.707,0.742,11,-4.953,0,0.0482,0.0142,0.00174,0.35,0.668,112.994,4
spotify:track:05i0gnCc4Tj9Rshavrirfh,"Free","Free","Little Simz",2025-03-27,215594,48,true,11164375455,2026-03-23T19:11:52Z,"","Little Simz",0.764,0.654,8,-7.639,0,0.0741,0.434,0.00351,0.153,0.778,92.039,4
spotify:track:4Sss76wwBUHJLtRZGcDoMj,"us","us","Brandon Nembhard",2025-03-14,125070,25,false,11164375455,2026-03-23T19:11:52Z,"","Veron",0.773,0.742,1,-7.79,1,0.29,0.171,0,0.183,0.902,142.067,4
spotify:track:7LnQLIRISvRE4slsD3T5o7,"Suiker & Kaneel","Suiker & Kaneel","Marou;Massin;P.A.V.",2025-02-07,130243,25,true,11164375455,2026-03-23T19:11:52Z,"","KNOWL369E",0.565,0.591,0,-6.84,0,0.269,0.166,0,0.663,0.738,180.257,4
spotify:track:6wRgIGbwalFjNXTAPBpO3A,"ADF Samski No Hook 4","ADF Samski No Hook 4","boelie24;ADF Samski",2024-11-09,172965,44,false,11164375455,2026-03-23T19:11:52Z,"","Boelie24",0.89,0.692,0,-7.222,0,0.129,0.0381,0.00106,0.167,0.794,125.024,4
spotify:track:0bptplluMAF1aSarPhQDjg,"inklokken","inklokken","Marou;Massin;P.A.V.",2025-02-28,119745,29,true,11164375455,2026-03-23T19:11:52Z,"","KNOWL369E",0.697,0.635,7,-3.81,1,0.118,0.0324,0.00156,0.458,0.857,93.069,4
spotify:track:7bzqbo7apxnPjwAWed9Zj2,"bird n dizz","love riddims","oakland;Wilfred;Joe James",2024-04-12,128875,1,true,11164375455,2026-03-23T19:11:52Z,"grime,britse grime","nocap",0.694,0.645,1,-10.727,1,0.372,0.728,0,0.115,0.777,139.905,5
spotify:track:2HketbBYzRkHIzFLKq5gXR,"posh & becks","love riddims","oakland;Wilfred;Joe James",2024-04-12,161142,6,false,11164375455,2026-03-23T19:11:52Z,"grime,britse grime","nocap",0.612,0.7,8,-6.119,1,0.405,0.321,0.0000675,0.172,0.607,139.37,4
spotify:track:2sHiDtOpqYf4uVcy06nQsr,"F5","F5","Noah Ysp",2024-05-24,167142,42,true,11164375455,2026-03-23T19:11:52Z,"","Noah YSP",0.851,0.527,3,-9.95,0,0.348,0.472,0.0000318,0.107,0.55,140.046,4
spotify:track:4O4UMjl5PiifFzPhXNd75E,"NEVER NOT MAYBE","NEVER NOT MAYBE","CLARK",2024-06-21,68381,43,true,11164375455,2026-03-23T19:11:52Z,"grime,britse grime","6992011 Records DK",0.723,0.462,0,-15.225,0,0.338,0.0921,0.00821,0.104,0.529,139.09,4
spotify:track:7c5ne5Au1cXjV8YJY9spqa,"Head n' Shoulders, pt.II","Head n' Shoulders, pt.II","Yc;Nemzzz",2024-12-06,135746,57,true,11164375455,2026-03-23T19:11:52Z,"duitse hiphop,britse drill,drill","GOLD LEAGUE",0.793,0.58,10,-7.692,0,0.314,0.125,0,0.207,0.593,149.98,4
spotify:track:1hBT3YVAygNFTSP3ntqzp4,"Spookstad","2 HIGH 2 SOCIETY","Gotu Jim",2024-11-29,199466,34,true,11164375455,2026-03-23T19:11:52Z,"hard house,nederpop","Burning Fik",0.772,0.772,8,-6.81,1,0.0415,0.052,0.0963,0.325,0.359,140.034,4
spotify:track:3XxYChcKbjsronaevEAUdw,"Ter Zake","Ter Zake","Kevin",2024-10-11,106105,43,true,11164375455,2026-03-23T19:11:52Z,"","Animal Stories",0.797,0.488,1,-8.4,1,0.398,0.708,0,0.111,0.818,94.964,4
spotify:track:1JjHQ4lfAjbDq7wmOmH9wM,"Shabab(e)s im VIP","grünewürfelflow","Pashanim;Ceren",2025-04-30,115555,74,true,11164375455,2026-03-23T19:11:52Z,"duitse hiphop","Urban",0.746,0.598,11,-10.112,0,0.133,0.0239,0.0126,0.0988,0.537,134.994,4
spotify:track:46qz3vWKQ5xmRZvx1jG4pM,"intro efendi","grünewürfelflow","Pashanim",2025-04-30,83478,53,false,11164375455,2026-03-23T19:11:52Z,"duitse hiphop","Urban",0.721,0.535,1,-9.834,1,0.0882,0.0872,0.00318,0.328,0.688,92.011,4
spotify:track:29nCFkQzewlDZKOnYSinZO,"Two Worlds Apart","Sometimes I Might Be Introvert","Little Simz",2021-09-03,178066,0,true,11164375455,2026-03-23T19:11:52Z,"","AGE 101",0.455,0.636,2,-7.179,1,0.127,0.611,0,0.145,0.42,140.708,4
